x,y,p1,p2
0,0,0,0
4.732492437,19.12311469,0.732492437,0.927349337
9.464984874,38.24622937,0.464984874,0.854698674
14.19747731,57.36934406,0.19747731,0.782048011
18.92996975,76.49245875,0.929969747,0.709397348
23.66246218,95.61557344,0.662462184,0.636746685
28.39495462,114.7386881,0.394954621,0.564096021
33.12744706,133.8618028,0.127447058,0.491445358
37.85993949,152.9849175,0.859939494,0.418794695
42.59243193,172.1080322,0.592431931,0.346144032
47.32492437,191.2311469,0.324924368,0.273493369
52.0574168,210.3542616,0.057416805,0.200842706
56.78990924,229.4773762,0.789909242,0.128192043
61.52240168,248.6004909,0.522401678,0.05554138
66.25489412,267.7236056,0.254894115,0.982890717
70.98738655,286.8467203,0.987386552,0.910240054
75.71987899,305.969835,0.719878989,0.83758939
80.45237143,325.0929497,0.452371426,0.764938727
85.18486386,344.2160644,0.184863862,0.692288064
89.9173563,363.3391791,0.917356299,0.619637401
94.64984874,382.4622937,0.649848736,0.546986738
99.38234117,401.5854084,0.382341173,0.474336075
104.1148336,420.7085231,0.11483361,0.401685412
108.847326,439.8316378,0.847326046,0.329034749
113.5798185,458.9547525,0.579818483,0.256384086
118.3123109,478.0778672,0.31231092,0.183733423
123.0448034,497.2009819,0.044803357,0.11108276
127.7772958,516.3240966,0.777295794,0.038432096
132.5097882,535.4472112,0.50978823,0.965781433
137.2422807,554.5703259,0.242280667,0.89313077
141.9747731,573.6934406,0.974773104,0.820480107
146.7072655,592.8165553,0.707265541,0.747829444
151.439758,611.93967,0.439757978,0.675178781
156.1722504,631.0627847,0.172250414,0.602528118
160.9047429,650.1858994,0.904742851,0.529877455
165.6372353,669.309014,0.637235288,0.457226792
170.3697277,688.4321287,0.369727725,0.384576129
175.1022202,707.5552434,0.102220162,0.311925465
179.8347126,726.6783581,0.834712598,0.239274802
184.567205,745.8014728,0.567205035,0.166624139
189.2996975,764.9245875,0.299697472,0.093973476
194.0321899,784.0477022,0.032189909,0.021322813
198.7646823,803.1708169,0.764682346,0.94867215
203.4971748,822.2939315,0.497174782,0.876021487
208.2296672,841.4170462,0.229667219,0.803370824
212.9621597,860.5401609,0.962159656,0.730720161
217.6946521,879.6632756,0.694652093,0.658069498
222.4271445,898.7863903,0.42714453,0.585418835
227.159637,917.909505,0.159636967,0.512768171
231.8921294,937.0326197,0.892129403,0.440117508
236.6246218,956.1557344,0.62462184,0.367466845
12.09662834,-2.726092934,0.096628345,0.687448439
16.82912078,16.39702175,0.829120782,0.614797775
21.56161322,35.52013644,0.561613219,0.542147112
26.29410566,54.64325113,0.294105655,0.469496449
31.02659809,73.76636581,0.026598092,0.396845786
35.75909053,92.8894805,0.759090529,0.324195123
40.49158297,112.0125952,0.491582966,0.25154446
45.2240754,131.1357099,0.224075403,0.178893797
49.95656784,150.2588246,0.956567839,0.106243134
54.68906028,169.3819392,0.689060276,0.033592471
59.42155271,188.5050539,0.421552713,0.960941808
64.15404515,207.6281686,0.15404515,0.888291145
68.88653759,226.7512833,0.886537587,0.815640481
73.61903002,245.874398,0.619030023,0.742989818
78.35152246,264.9975127,0.35152246,0.670339155
83.0840149,284.1206274,0.084014897,0.597688492
87.81650733,303.2437421,0.816507334,0.525037829
92.54899977,322.3668567,0.548999771,0.452387166
97.28149221,341.4899714,0.281492207,0.379736503
102.0139846,360.6130861,0.013984644,0.30708584
106.7464771,379.7362008,0.746477081,0.234435177
111.4789695,398.8593155,0.478969518,0.161784514
116.211462,417.9824302,0.211461955,0.08913385
120.9439544,437.1055449,0.943954391,0.016483187
125.6764468,456.2286596,0.676446828,0.943832524
130.4089393,475.3517742,0.408939265,0.871181861
135.1414317,494.4748889,0.141431702,0.798531198
139.8739241,513.5980036,0.873924139,0.725880535
144.6064166,532.7211183,0.606416575,0.653229872
149.338909,551.844233,0.338909012,0.580579209
154.0714014,570.9673477,0.071401449,0.507928546
158.8038939,590.0904624,0.803893886,0.435277883
163.5363863,609.2135771,0.536386323,0.36262722
168.2688788,628.3366917,0.268878759,0.289976556
173.0013712,647.4598064,0.001371196,0.217325893
177.7338636,666.5829211,0.733863633,0.14467523
182.4663561,685.7060358,0.46635607,0.072024567
187.1988485,704.8291505,0.198848507,0.999373904
191.9313409,723.9522652,0.931340943,0.926723241
196.6638334,743.0753799,0.66383338,0.854072578
201.3963258,762.1984945,0.396325817,0.781421915
206.1288183,781.3216092,0.128818254,0.708771252
210.8613107,800.4447239,0.861310691,0.636120589
215.5938031,819.5678386,0.593803127,0.563469925
220.3262956,838.6909533,0.326295564,0.490819262
225.058788,857.814068,0.058788001,0.418168599
229.7912804,876.9371827,0.791280438,0.345517936
234.5237729,896.0602974,0.523772875,0.272867273
239.2562653,915.183412,0.256265311,0.20021661
243.9887577,934.3065267,0.988757748,0.127565947
248.7212502,953.4296414,0.721250185,0.054915284
24.19325669,-5.452185868,0.19325669,0.374896877
28.92574913,13.67092882,0.925749127,0.302246214
33.65824156,32.79404351,0.658241563,0.229595551
38.390734,51.91715819,0.390734,0.156944888
43.12322644,71.04027288,0.123226437,0.084294225
47.85571887,90.16338757,0.855718874,0.011643562
52.58821131,109.2865023,0.588211311,0.938992899
57.32070375,128.4096169,0.320703747,0.866342235
62.05319618,147.5327316,0.053196184,0.793691572
66.78568862,166.6558463,0.785688621,0.721040909
71.51818106,185.778961,0.518181058,0.648390246
76.25067349,204.9020757,0.250673495,0.575739583
80.98316593,224.0251904,0.983165931,0.50308892
85.71565837,243.1483051,0.715658368,0.430438257
90.44815081,262.2714198,0.448150805,0.357787594
95.18064324,281.3945344,0.180643242,0.285136931
99.91313568,300.5176491,0.913135679,0.212486268
104.6456281,319.6407638,0.645628115,0.139835605
109.3781206,338.7638785,0.378120552,0.067184941
114.110613,357.8869932,0.110612989,0.994534278
118.8431054,377.0101079,0.843105426,0.921883615
123.5755979,396.1332226,0.575597863,0.849232952
128.3080903,415.2563372,0.3080903,0.776582289
133.0405827,434.3794519,0.040582736,0.703931626
137.7730752,453.5025666,0.773075173,0.631280963
142.5055676,472.6256813,0.50556761,0.5586303
147.23806,491.748796,0.238060047,0.485979637
151.9705525,510.8719107,0.970552484,0.413328974
156.7030449,529.9950254,0.70304492,0.34067831
161.4355374,549.1181401,0.435537357,0.268027647
166.1680298,568.2412547,0.168029794,0.195376984
170.9005222,587.3643694,0.900522231,0.122726321
175.6330147,606.4874841,0.633014668,0.050075658
180.3655071,625.6105988,0.365507104,0.977424995
185.0979995,644.7337135,0.097999541,0.904774332
189.830492,663.8568282,0.830491978,0.832123669
194.5629844,682.9799429,0.562984415,0.759473006
199.2954769,702.1030576,0.295476852,0.686822343
204.0279693,721.2261722,0.027969288,0.61417168
208.7604617,740.3492869,0.760461725,0.541521016
213.4929542,759.4724016,0.492954162,0.468870353
218.2254466,778.5955163,0.225446599,0.39621969
222.957939,797.718631,0.957939036,0.323569027
227.6904315,816.8417457,0.690431472,0.250918364
232.4229239,835.9648604,0.422923909,0.178267701
237.1554163,855.0879751,0.155416346,0.105617038
241.8879088,874.2110897,0.887908783,0.032966375
246.6204012,893.3342044,0.62040122,0.960315712
251.3528937,912.4573191,0.352893656,0.887665049
256.0853861,931.5804338,0.085386093,0.815014385
260.8178785,950.7035485,0.81787853,0.742363722
36.28988503,-8.178278802,0.289885035,0.062345316
41.02237747,10.94483589,0.022377472,0.989694653
45.75486991,30.06795057,0.754869908,0.91704399
50.48736235,49.19106526,0.487362345,0.844393326
55.21985478,68.31417995,0.219854782,0.771742663
59.95234722,87.43729463,0.952347219,0.699092
64.68483966,106.5604093,0.684839656,0.626441337
69.41733209,125.683524,0.417332092,0.553790674
74.14982453,144.8066387,0.149824529,0.481140011
78.88231697,163.9297534,0.882316966,0.408489348
83.6148094,183.0528681,0.614809403,0.335838685
88.34730184,202.1759828,0.34730184,0.263188022
93.07979428,221.2990974,0.079794276,0.190537359
97.81228671,240.4222121,0.812286713,0.117886695
102.5447792,259.5453268,0.54477915,0.045236032
107.2772716,278.6684415,0.277271587,0.972585369
112.009764,297.7915562,0.009764024,0.899934706
116.7422565,316.9146709,0.74225646,0.827284043
121.4747489,336.0377856,0.474748897,0.75463338
126.2072413,355.1609003,0.207241334,0.681982717
130.9397338,374.2840149,0.939733771,0.609332054
135.6722262,393.4071296,0.672226208,0.536681391
140.4047186,412.5302443,0.404718644,0.464030728
145.1372111,431.653359,0.137211081,0.391380064
149.8697035,450.7764737,0.869703518,0.318729401
154.602196,469.8995884,0.602195955,0.246078738
159.3346884,489.0227031,0.334688392,0.173428075
164.0671808,508.1458177,0.067180828,0.100777412
168.7996733,527.2689324,0.799673265,0.028126749
173.5321657,546.3920471,0.532165702,0.955476086
178.2646581,565.5151618,0.264658139,0.882825423
182.9971506,584.6382765,0.997150576,0.81017476
187.729643,603.7613912,0.729643012,0.737524097
192.4621354,622.8845059,0.462135449,0.664873434
197.1946279,642.0076206,0.194627886,0.59222277
201.9271203,661.1307352,0.927120323,0.519572107
206.6596128,680.2538499,0.65961276,0.446921444
211.3921052,699.3769646,0.392105196,0.374270781
216.1245976,718.5000793,0.124597633,0.301620118
220.8570901,737.623194,0.85709007,0.228969455
225.5895825,756.7463087,0.589582507,0.156318792
230.3220749,775.8694234,0.322074944,0.083668129
235.0545674,794.9925381,0.05456738,0.011017466
239.7870598,814.1156527,0.787059817,0.938366803
244.5195523,833.2387674,0.519552254,0.865716139
249.2520447,852.3618821,0.252044691,0.793065476
253.9845371,871.4849968,0.984537128,0.720414813
258.7170296,890.6081115,0.717029564,0.64776415
263.449522,909.7312262,0.449522001,0.575113487
268.1820144,928.8543409,0.182014438,0.502462824
272.9145069,947.9774556,0.914506875,0.429812161
48.38651338,-10.90437174,0.38651338,0.749793754
53.11900582,8.218742951,0.119005817,0.677143091
57.85149825,27.34185764,0.851498253,0.604492428
62.58399069,46.46497233,0.58399069,0.531841765
67.31648313,65.58808701,0.316483127,0.459191102
72.04897556,84.7112017,0.048975564,0.386540439
76.781468,103.8343164,0.781468001,0.313889776
81.51396044,122.9574311,0.513960437,0.241239113
86.24645287,142.0805458,0.246452874,0.168588449
90.97894531,161.2036604,0.978945311,0.095937786
95.71143775,180.3267751,0.711437748,0.023287123
100.4439302,199.4498898,0.443930185,0.95063646
105.1764226,218.5730045,0.176422621,0.877985797
109.9089151,237.6961192,0.908915058,0.805335134
114.6414075,256.8192339,0.641407495,0.732684471
119.3738999,275.9423486,0.373899932,0.660033808
124.1063924,295.0654633,0.106392369,0.587383145
128.8388848,314.1885779,0.838884805,0.514732482
133.5713772,333.3116926,0.571377242,0.442081819
138.3038697,352.4348073,0.303869679,0.369431155
143.0363621,371.557922,0.036362116,0.296780492
147.7688546,390.6810367,0.768854553,0.224129829
152.501347,409.8041514,0.501346989,0.151479166
157.2338394,428.9272661,0.233839426,0.078828503
161.9663319,448.0503808,0.966331863,0.00617784
166.6988243,467.1734954,0.6988243,0.933527177
171.4313167,486.2966101,0.431316737,0.860876514
176.1638092,505.4197248,0.163809173,0.788225851
180.8963016,524.5428395,0.89630161,0.715575188
185.628794,543.6659542,0.628794047,0.642924524
190.3612865,562.7890689,0.361286484,0.570273861
195.0937789,581.9121836,0.093778921,0.497623198
199.8262714,601.0352983,0.826271357,0.424972535
204.5587638,620.1584129,0.558763794,0.352321872
209.2912562,639.2815276,0.291256231,0.279671209
214.0237487,658.4046423,0.023748668,0.207020546
218.7562411,677.527757,0.756241105,0.134369883
223.4887335,696.6508717,0.488733541,0.06171922
228.221226,715.7739864,0.221225978,0.989068557
232.9537184,734.8971011,0.953718415,0.916417894
237.6862109,754.0202157,0.686210852,0.84376723
242.4187033,773.1433304,0.418703289,0.771116567
247.1511957,792.2664451,0.151195725,0.698465904
251.8836882,811.3895598,0.883688162,0.625815241
256.6161806,830.5126745,0.616180599,0.553164578
261.348673,849.6357892,0.348673036,0.480513915
266.0811655,868.7589039,0.081165473,0.407863252
270.8136579,887.8820186,0.813657909,0.335212589
275.5461503,907.0051332,0.546150346,0.262561926
280.2786428,926.1282479,0.278642783,0.189911263
285.0111352,945.2513626,0.01113522,0.117260599
60.48314172,-13.63046467,0.483141725,0.437242193
65.21563416,5.492650017,0.215634161,0.36459153
69.9481266,24.6157647,0.948126598,0.291940867
74.68061904,43.73887939,0.680619035,0.219290204
79.41311147,62.86199408,0.413111472,0.14663954
84.14560391,81.98510877,0.145603909,0.073988877
88.87809635,101.1082235,0.878096345,0.001338214
93.61058878,120.2313381,0.610588782,0.928687551
98.34308122,139.3544528,0.343081219,0.856036888
103.0755737,158.4775675,0.075573656,0.783386225
